const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,21560.0,13.3,40.1,1543.71240234,95.12889642097434,94.83025645727861,4.056111670985595,88.9144993074404,98.9570825241432,100.0,2.35,0.394,2.16,60.33,5.85222082210651,89.906897649352,0.4,92.0,94.0,2.5,23.6,4.3
1.0,5120.0,20.200000000000003,40.1,3228.43505859,88.25,89.7699966430664,4.056111670985595,81.94279215408704,87.5527837523229,98.3,1.16,1.552,2.16,75.996,15.7989247028582,65.1075874676011,0.4,96.0,95.0,6.8,8.9,4.3
1.0,2940.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,19.304728768578,20.5,2.35,0.394,2.16,13.88,30.2720267838858,62.3545333786307,1.5,44.0,42.0,27.7,39.6,4.3
1.0,1170.0,20.200000000000003,40.1,3228.43505859,96.629997253418,90.4499969482422,6.62253066096596,28.2174874193037,50.2791929850309,57.3,2.35,0.151,2.16,30.897,42.1882542295161,45.0802861409139,17.1,90.0,86.0,5.4,24.3,7.7
1.0,62550.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,100.0,100.0,2.35,0.394,2.16,86.75,4.94105432186094,89.1143536670652,0.1,91.0,93.0,2.5,13.1,4.3
1.0,51710.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,99.6420270617799,99.4479470760581,100.0,2.35,0.394,2.16,85.872,1.42416707005328,92.9328258466129,0.4,94.0,91.0,2.5,22.3,4.3
1.0,8380.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,81.4596743556766,100.0,2.35,0.394,2.16,79.208,12.3367929690456,77.859990559681,0.4,88.0,85.0,5.4,29.8,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,29.5287016952487,95.2955412998895,100.0,2.35,0.394,2.16,23.21,11.082843800717,79.4010784668366,0.4,99.0,99.0,5.4,31.3,4.3
1.0,2770.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,36.3006918200211,47.8426472252971,81.3,2.35,0.394,2.16,77.014,30.9546637024882,57.630449772173,0.4,87.0,87.0,16.4,7.8,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,98.8400017151311,100.0,2.35,0.394,2.16,44.474,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
