country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
India,IND,SAS,LMC,20.0,77.0,6.611,1450935791.0,7.14651714039908,2650.0,,,,,,,,78.3885599466666,99.5,1.6,,,36.867,24.166184366593,65.9332019454579,0.2,97.0,94.0,13.7,24.3,
Ireland,IRL,ECS,HIC,53.0,-8.0,6.6,5380257.0,15.8920783803289,77920.0,,,,,,,95.9914050398065,89.2548706492391,100.0,,,14.34,64.76,5.68459569024138,90.4058687318321,0.2,90.0,92.0,2.5,19.3,
"Iran, Islamic Rep.",IRN,MEA,UMC,32.0,53.0,4.672,91567738.0,8.23901267627149,4660.0,,,,,,,94.2212514688695,90.3647310611256,100.0,,,,77.698,8.08917917585891,81.3071549864524,,99.0,98.0,6.5,13.3,
Iraq,IRQ,MEA,UMC,33.0,44.0,4.132,46042015.0,3.41438792372575,6030.0,,,,,,,59.7426312653863,98.4987805458373,100.0,1.3,1.012,2.623,71.853,15.2968313867188,66.8927788998746,0.1,91.0,90.0,16.1,19.2,
Iceland,ISL,ECS,HIC,65.0,-18.0,6.6,404610.0,15.6448154592516,78480.0,,,7196.90917969,,,,100.0,98.7793267273749,100.0,,4.524,15.95,94.094,4.96802300638093,89.4710659502945,0.1,97.0,94.0,2.5,9.4,
Israel,ISR,MEA,HIC,31.5,35.0,5.2,9974400.0,12.5526937672772,52940.0,,,,,,,99.4711560405675,99.9245193973947,100.0,3.06,3.713,5.864,92.946,10.3180117827835,85.4465034349679,,98.0,98.0,2.5,20.4,
Italy,ITA,ECS,HIC,43.0,12.0,11.2,58986023.0,24.624776723376,38290.0,,,3228.43505859,,,,92.7105575597704,99.8850365009352,100.0,,4.248,7.71,72.292,5.50478804647942,90.6385058588077,0.3,95.0,94.0,2.5,22.4,
Jamaica,JAM,LCN,UMC,18.25,-77.5,8.076,2839175.0,8.20960314175773,6490.0,,,,,,5.51383018493652,,86.552597631728,97.7,1.68,,,57.762,8.97365890799868,79.297063590575,1.1,94.0,99.0,7.3,9.7,
Jordan,JOR,MEA,LMC,31.0,36.0,3.049,11552876.0,4.52316375593402,4430.0,,,,,,,85.7091310193345,97.1448857931036,100.0,1.38,,,92.206,10.01022905335,79.6060658555472,0.1,99.0,96.0,17.9,35.6,
Japan,JPN,EAS,HIC,36.0,138.0,13.0,123975371.0,29.7807703973917,36030.0,,,,,,,98.6585502009944,99.9376889486133,100.0,,,,92.134,10.2966193961317,84.7905248056048,,95.0,99.0,3.4,19.2,
